,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
0,700794,,F,Permanent Home
1,702637,,M,Mobile/Trailer Home
2,702637,,M,Under Tree
3,707166,56.0,F,Outside/Open Areas
4,707167,39.0,M,Outside/Open Areas
5,707167,62.0,M,Outside/Open Areas
6,707167,49.0,M,Outside/Open Areas
7,707167,40.0,M,Outside/Open Areas
8,707167,76.0,M,Outside/Open Areas
9,707169,55.0,M,Outside/Open Areas
10,707169,55.0,F,Permanent Structure
11,707173,42.0,M,Unknown
12,707173,41.0,M,Unknown
13,707173,34.0,M,Outside/Open Areas
14,707173,52.0,M,Outside/Open Areas
15,707173,57.0,M,Outside/Open Areas
16,707173,79.0,M,Outside/Open Areas
17,707173,49.0,M,Outside/Open Areas
18,707173,37.0,M,Outside/Open Areas
19,707173,68.0,M,Permanent Home
20,707173,36.0,F,Permanent Home
21,707173,69.0,F,Permanent Home
22,707173,77.0,M,Permanent Home
23,707173,69.0,F,Permanent Home
24,707173,73.0,F,Permanent Home
25,707173,52.0,M,Permanent Home
26,707173,73.0,M,Permanent Home
27,707173,61.0,F,Permanent Home
28,707173,70.0,M,Permanent Home
29,707174,43.0,M,Outside/Open Areas
30,707174,69.0,M,Permanent Home
31,707691,1.0,F,Vehicle/Towed Trailer
32,707691,2.0,F,Vehicle/Towed Trailer
33,708125,71.0,M,Outside/Open Areas
34,709859,3.0,M,Vehicle/Towed Trailer
35,709875,14.0,M,In Water
36,709890,34.0,M,Heavy Equipment/Construction
37,709930,10.0,M,Outside/Open Areas
38,709932,57.0,M,In Water
39,711723,30.0,M,In Water
40,698272,14.0,M,Outside/Open Areas
41,699896,46.0,F,Vehicle/Towed Trailer
42,703403,35.0,M,In Water
43,683848,33.0,M,Outside/Open Areas
44,683848,,M,Outside/Open Areas
45,688401,,,Outside/Open Areas
46,688957,65.0,F,Vehicle/Towed Trailer
47,691029,31.0,M,In Water
48,691311,72.0,F,Vehicle/Towed Trailer
49,691312,18.0,M,Vehicle/Towed Trailer
50,691624,10.0,F,Outside/Open Areas
51,691629,76.0,M,Vehicle/Towed Trailer
52,691732,2.0,F,Vehicle/Towed Trailer
53,691732,4.0,M,Vehicle/Towed Trailer
54,692706,,M,In Water
55,693378,8.0,M,In Water
56,693379,16.0,M,In Water
57,693388,27.0,M,In Water
58,694328,2.0,F,Outside/Open Areas
59,694736,38.0,F,Mobile/Trailer Home
60,694736,3.0,F,Mobile/Trailer Home
