,Unnamed: 0_x,STATE,EVENT_ID,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,Unnamed: 0_y,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
0,217,TEXAS,673579,2017,Flood,0,0,1,0,0.0,0.00K,685,36.0,M,Outside/Open Areas
1,224,TEXAS,672747,2017,Thunderstorm Wind,0,0,2,0,0.0,0.00K,683,5.0,M,In Water
2,224,TEXAS,672747,2017,Thunderstorm Wind,0,0,2,0,0.0,0.00K,684,26.0,M,In Water
3,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,696,,,Unknown
4,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,697,,,Unknown
5,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,698,,,Unknown
6,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,699,,,Unknown
7,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,700,,,Unknown
8,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,701,,,Unknown
9,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,702,,,Unknown
10,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,703,,,Unknown
11,370,PUERTO RICO,749456,2017,Flash Flood,0,0,9,0,2.50B,0.00K,704,,,Unknown
12,371,PUERTO RICO,749457,2017,Flash Flood,0,0,1,0,750000000.0,0.00K,705,,M,Unknown
13,418,PUERTO RICO,722620,2017,Flash Flood,0,0,1,0,750000000.0,0.00K,688,,M,Unknown
14,419,PUERTO RICO,722622,2017,Flash Flood,0,0,2,0,750000000.0,0.00K,689,53.0,M,In Water
15,419,PUERTO RICO,722622,2017,Flash Flood,0,0,2,0,750000000.0,0.00K,690,47.0,M,In Water
16,421,PUERTO RICO,722629,2017,Flash Flood,0,0,4,0,750000000.0,0.00K,691,,,Unknown
17,421,PUERTO RICO,722629,2017,Flash Flood,0,0,4,0,750000000.0,0.00K,692,,,Unknown
18,421,PUERTO RICO,722629,2017,Flash Flood,0,0,4,0,750000000.0,0.00K,693,,,Unknown
19,421,PUERTO RICO,722629,2017,Flash Flood,0,0,4,0,750000000.0,0.00K,694,,,Unknown
20,425,PUERTO RICO,749737,2017,Flash Flood,0,0,3,0,750000000.0,0.00K,706,,F,Permanent Home
21,425,PUERTO RICO,749737,2017,Flash Flood,0,0,3,0,750000000.0,0.00K,707,,F,Permanent Home
22,425,PUERTO RICO,749737,2017,Flash Flood,0,0,3,0,750000000.0,0.00K,708,,F,Permanent Home
23,529,PUERTO RICO,731651,2017,Lightning,0,0,1,0,0.0,0.00K,695,63.0,M,In Water
24,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,425,,,Unknown
25,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,426,,,Unknown
26,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,427,,,Unknown
27,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,428,,,Unknown
28,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,429,,,Unknown
29,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,430,,,Unknown
30,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,431,,,Unknown
31,762,CALIFORNIA,724178,2017,Wildfire,1,0,8,0,38400000.0,0.00K,432,,,Unknown
32,981,FLORIDA,668749,2017,Thunderstorm Wind,0,0,1,0,0.0,0.00K,85,54.0,M,Mobile/Trailer Home
33,1007,CONNECTICUT,690389,2017,Strong Wind,1,0,1,0,7000.0,0.00K,67,,M,Under Tree
34,1911,FLORIDA,668998,2017,Rip Current,0,0,1,0,0.0,0.00K,86,52.0,F,In Water
35,2087,MISSISSIPPI,692096,2017,Tornado,0,0,1,0,3500000.0,700.00K,687,36.0,M,Permanent Home
36,2452,MICHIGAN,681925,2017,Winter Weather,0,0,0,1,0.0,0.00K,481,,,Vehicle/Towed Trailer
37,2733,HAWAII,670198,2017,Flash Flood,0,0,1,0,0.0,0.00K,89,47.0,F,In Water
38,2837,HAWAII,670192,2017,High Surf,0,0,0,1,0.0,0.00K,88,43.0,M,In Water
39,2865,NEW JERSEY,730071,2017,Rip Current,0,0,1,0,,,264,34.0,M,In Water
40,2925,GEORGIA,673095,2017,Tornado,0,0,2,0,500000.0,0.00K,368,82.0,M,Permanent Home
41,2925,GEORGIA,673095,2017,Tornado,0,0,2,0,500000.0,0.00K,369,78.0,F,Permanent Home
42,2947,PENNSYLVANIA,667029,2017,Strong Wind,0,0,1,0,,,79,60.0,M,Outside/Open Areas
43,3084,IDAHO,676952,2017,Winter Storm,0,0,0,1,5000.0,0.00K,112,59.0,M,Vehicle/Towed Trailer
44,3188,TEXAS,668659,2017,Extreme Cold/Wind Chill,0,0,1,0,0.0,0.00K,82,72.0,M,Outside/Open Areas
45,3189,LOUISIANA,668660,2017,Strong Wind,1,0,1,0,0.0,0.00K,83,35.0,M,In Water
46,3407,PUERTO RICO,678145,2017,Rip Current,0,0,1,0,0.0,0.00K,115,39.0,M,In Water
47,3420,WISCONSIN,664988,2017,Winter Weather,0,0,0,1,,0.00K,75,16.0,F,Vehicle/Towed Trailer
48,3432,GEORGIA,673054,2017,Tornado,0,0,2,0,500000.0,0.00K,359,,M,Mobile/Trailer Home
49,3432,GEORGIA,673054,2017,Tornado,0,0,2,0,500000.0,0.00K,360,,F,Mobile/Trailer Home
50,3546,GEORGIA,673083,2017,Tornado,45,0,7,0,1500000.0,0.00K,361,18.0,F,Mobile/Trailer Home
51,3546,GEORGIA,673083,2017,Tornado,45,0,7,0,1500000.0,0.00K,362,33.0,F,Mobile/Trailer Home
52,3546,GEORGIA,673083,2017,Tornado,45,0,7,0,1500000.0,0.00K,363,62.0,F,Mobile/Trailer Home
53,3546,GEORGIA,673083,2017,Tornado,45,0,7,0,1500000.0,0.00K,364,38.0,F,Mobile/Trailer Home
